tweet_id,token,ner,token_idx,ner_idx,entities,count_entities,onehot_entities
1380681275594305537,"['@ridwankamil', '@KickAndyShow', '@Metro_TV', 'Upaya', 'untuk', 'mnaikan', 'nilai', 'jual', 'yg', 'bgus,dngn', 'cara', 'd', 'desain', 'pak', 'gubernur', 'akan', 'menjadikn', 'produk', 'umkm', 'd', 'mintai', 'krena', 'yg', 'desain', 'org', 'nomer', 'satu', 'di', 'jabar']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC']","[17441, 14696, 23089, 29865, 5288, 16801, 4219, 26507, 25310, 14154, 11969, 27001, 28349, 13202, 20128, 18805, 20400, 31670, 31425, 27001, 5946, 8542, 25310, 28349, 14521, 4859, 30064, 11172, 16152]","[12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 9, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 6]","[['gubernur', 'PER'], ['jabar', 'LOC']]","[Counter({'PER': 1, 'LOC': 1})]",110000
1380685209075544064,"['@GyuuPotter', 'iyhh', ',', 'soalnya', 'mwu', 'kerjain', 'tugas', 'jg��']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28878, 6180, 28901, 34777, 10067, 16896, 28848, 33653]","[12, 12, 12, 12, 12, 12, 12, 12]",[],[Counter()],000000
1380685355897085952,"['@ShopeeID', 'Bismillah', 'yok', 'menang', '����', 'SHOPEE', '@ShopeeID', '#44ShopeeMamamoo', '#ShopeexMAMAMOO', '#AdaMamamoodiShopee']","['O', 'O', 'O', 'O', 'O', 'B-PROD', 'O', 'O', 'O', 'O']","[25692, 23671, 12973, 15450, 34856, 1682, 25692, 12068, 31553, 17715]","[12, 12, 12, 12, 12, 2, 12, 12, 12, 12]","[['SHOPEE', 'PROD']]",[Counter({'PROD': 1})],000100
1380686115007393792,"['udah', '2', 'mingguan', 'tinggal', 'bareng', 'teteh', ',', 'skrg', 'tetehku', 'dah', 'pulang', 'lagi', 'ke', 'jogja', 'rasanya', 'sepiiiii', 'bgt', 'jadi', 'ga', 'mood', 'ngapa2in']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[5402, 7060, 32890, 3470, 27243, 744, 28901, 24065, 22883, 27998, 19569, 16857, 7709, 21383, 3825, 24639, 15265, 3000, 22696, 25160, 4192]","[12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 6, 12, 12, 12, 12, 12, 12, 12]","[['jogja', 'LOC']]",[Counter({'LOC': 1})],010000
1380688640611786754,"['@ShopeeID', 'Potong', 'buah', 'semangka', 'pakai', 'alas', '.', 'Potongnya', 'diatas', 'bak', '.', 'Nonton', 'ulang', 'MAMAMOO', 'di', 'SHOPEE', 'dapat', 'iPhone', '12.', 'SHOPEE', 'memeng', 'DAEBAK', '.', '��', 'SHOPEE', '#TontonUlangMamamoo', '#TontonUlangShopee44', 'Sukses', 'selalu', 'buat', 'Shopee', 'dan', 'sehat', 'selalu', 'buat', 'mimin', 'Shopee.��', 'DOA', 'dan', 'Semangat', '��']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-PROD', 'O', 'B-PROD', 'I-PROD', 'B-PROD', 'O', 'O', 'O', 'O', 'B-PROD', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O']","[25692, 31963, 33851, 21516, 2424, 34378, 19406, 12124, 17346, 10640, 19406, 7501, 10523, 15901, 11172, 1682, 5631, 11406, 24424, 1682, 13724, 33313, 19406, 8527, 1682, 10427, 26327, 7539, 34546, 17010, 14958, 22325, 8522, 34546, 17010, 25185, 26821, 29497, 22325, 26783, 8527]","[12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 8, 12, 2, 12, 2, 3, 2, 12, 12, 12, 12, 2, 12, 12, 12, 12, 12, 8, 12, 12, 12, 12, 12, 8, 12, 12, 12, 12]","[['MAMAMOO', 'ORG'], ['SHOPEE', 'PROD'], ['iPhone 12.', 'PROD'], ['SHOPEE', 'PROD'], ['SHOPEE', 'PROD'], ['Shopee', 'ORG'], ['Shopee.��', 'ORG']]","[Counter({'PROD': 4, 'ORG': 3})]",001100
1380688670282289153,"['RT', '@kukluxcats', ':', 'Selevel', 'gubernur', 'Jatim', 'aja', 'udah', 'maen', 'BuzzeRp', ',', 'emang', 'udah', 'parah', 'kayanya', 'kompetensi', 'pejabat', 'kita', 'sampe', 'sampe', 'apa', 'apa', 'musti', 'dipromote', 'BuzzeRp', 'https://t.co/kfpglITYzw']","['O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[31041, 12457, 20999, 11500, 20128, 33802, 19911, 5402, 28716, 13870, 28901, 33426, 5402, 4671, 15907, 32679, 3007, 566, 6150, 6150, 30657, 30657, 9690, 28513, 13870, 32170]","[12, 12, 12, 12, 9, 10, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[['gubernur Jatim', 'PER']]",[Counter({'PER': 1})],100000
1380691957861732359,"['@ShopeeID', 'Semoga', 'wangi', '��', 'SHOPEE', '#44ShopeeMamamoo', '#ShopeexMamamoo', '#AdaMamamoodiShopee']","['O', 'O', 'O', 'O', 'B-PROD', 'O', 'O', 'O']","[25692, 13117, 27489, 8527, 1682, 12068, 27903, 17715]","[12, 12, 12, 12, 2, 12, 12, 12]","[['SHOPEE', 'PROD']]",[Counter({'PROD': 1})],000100
1380692463669547008,"['@andre_rosiade', 'Kerja', 'nyata', 'kalian', 'ya', 'itu', 'dgn', 'bergabungnya', 'prabowo', 'sandi', 'menjadi', 'menteri', 'dan', 'apa', 'klian', 'yakin', 'bhw', 'kalaian', 'akan', 'menang', '?', 'No', 'no', 'no', '....']","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[6323, 10871, 919, 5251, 23197, 21353, 29192, 14116, 3364, 21136, 18457, 22500, 22325, 30657, 26893, 10188, 19791, 6967, 18805, 15450, 29382, 32554, 19554, 19554, 21014]","[9, 12, 12, 12, 12, 12, 12, 12, 9, 9, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[['@andre_rosiade', 'PER'], ['prabowo', 'PER'], ['sandi', 'PER']]",[Counter({'PER': 3})],100000
1380694749603053572,"['Avail', 'Jogja', 'COD', '/', 'Cash', 'in', 'room', 'Open', 'Bebas', 'Crot', 'RR', '???', '⬇️⬇️⬇️', 'DM', '#bojogja', '#AvailJogja', '#JogjaBO', '#ExpoJOGJA', '#openBOjogja', '#AngelJogja', '#jogjaincluderoom', 'https://t.co/uCetrgpwYb']","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[17689, 6093, 29059, 12309, 8249, 26931, 24746, 28395, 21737, 10878, 24711, 23923, 15018, 1725, 17912, 34922, 6765, 9291, 16148, 15961, 13318, 10473]","[12, 6, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[['Jogja', 'LOC']]",[Counter({'LOC': 1})],010000
1380695479676100608,"['Cuma', 'Pak', 'Prabowo', 'yang', 'sudah', 'pasti', 'capres', 'lagi', 'sisa', 'nya', 'cawapres', 'potensial', 'bahkan', 'menteri', 'lagi']","['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[562, 33102, 5106, 1763, 10001, 17317, 925, 16857, 2333, 10852, 15292, 13549, 6296, 22500, 16857]","[12, 12, 9, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[['Prabowo', 'PER']]",[Counter({'PER': 1})],100000
