token,ner,tweet_id,index
Hidup,O,1382601382042103808,0
sesedih,O,1382601382042103808,1
dan,O,1382601382042103808,2
secaper,O,1382601382042103808,3
apa,O,1382601382042103808,4
yak,O,1382601382042103808,5
nyamperin,O,1382601382042103808,6
ig,B-PROD,1382601382042103808,7
atau,O,1382601382042103808,8
youtube,B-PROD,1382601382042103808,9
tim,O,1382601382042103808,10
lain,O,1382601382042103808,11
cuma,O,1382601382042103808,12
buat,O,1382601382042103808,13
ngatain,O,1382601382042103808,14
",",O,1382601382042103808,15
perasaan,O,1382601382042103808,16
dari,O,1382601382042103808,17
dulu,O,1382601382042103808,18
gua,O,1382601382042103808,19
ngefans,O,1382601382042103808,20
bola,O,1382601382042103808,21
orang,O,1382601382042103808,22
pada,O,1382601382042103808,23
santai,O,1382601382042103808,24
eh,O,1382601382042103808,25
di,O,1382601382042103808,26
ml,B-PROD,1382601382042103808,27
!,O,1382601382042103808,28
malah,O,1382601382042103808,29
gini��,O,1382601382042103808,30
Nadiem,B-PER,1384747361994350598,0
Bahas,O,1384747361994350598,1
Hilangnya,O,1384747361994350598,2
Kurikulum,O,1384747361994350598,3
Pancasila,O,1384747361994350598,4
Dengan,O,1384747361994350598,5
Megawati,B-PER,1384747361994350598,6
https://t.co/tDsHFyhKAb,O,1384747361994350598,7
RT,O,1387837745536454657,0
@nenxdyna,O,1387837745536454657,1
:,O,1387837745536454657,2
Jogja,B-LOC,1387837745536454657,3
utara,O,1387837745536454657,4
include,O,1387837745536454657,5
kos,O,1387837745536454657,6
rr,O,1387837745536454657,7
082265448558,O,1387837745536454657,8
https://t.co/8lbhRRpjQO,O,1387837745536454657,9
Dari,O,1385472532485218305,0
17,O,1385472532485218305,1
wisata,O,1385472532485218305,2
di,O,1385472532485218305,3
Jogja,B-LOC,1385472532485218305,4
ini,O,1385472532485218305,5
kamu,O,1385472532485218305,6
udah,O,1385472532485218305,7
pernah,O,1385472532485218305,8
kemana,O,1385472532485218305,9
aja,O,1385472532485218305,10
nih,O,1385472532485218305,11
?,O,1385472532485218305,12
Komen,O,1385472532485218305,13
di,O,1385472532485218305,14
bawah,O,1385472532485218305,15
yuk,O,1385472532485218305,16
!,O,1385472532485218305,17
-,O,1385472532485218305,18
Jangan,O,1385472532485218305,19
lupa,O,1385472532485218305,20
tetap,O,1385472532485218305,21
jaga,O,1385472532485218305,22
kesehatan,O,1385472532485218305,23
diri,O,1385472532485218305,24
dan,O,1385472532485218305,25
juga,O,1385472532485218305,26
kebersihan,O,1385472532485218305,27
tempat,O,1385472532485218305,28
wisata,O,1385472532485218305,29
agar,O,1385472532485218305,30
tetap,O,1385472532485218305,31
asri,O,1385472532485218305,32
ya,O,1385472532485218305,33
sobat,O,1385472532485218305,34
travella,B-PROD,1385472532485218305,35
-,O,1385472532485218305,36
Lokasi��Jogja,B-WA,1385472532485218305,37
Video,I-WA,1385472532485218305,38
by,O,1385472532485218305,39
@daya_hadid,B-PER,1385472532485218305,40
⁣,O,1385472532485218305,41
.,O,1385472532485218305,42
.,O,1385472532485218305,43
.,O,1385472532485218305,44
Kami,O,1385472532485218305,45
rutin,O,1385472532485218305,46
setiap,O,1385472532485218305,47
hari,O,1385472532485218305,48
posting,O,1385472532485218305,49
foto-foto…,O,1385472532485218305,50
https://t.co/NGMtyskSaK,O,1385472532485218305,51
@jntexpressid,B-ORG,1386114774203736065,0
kenapa,O,1386114774203736065,1
kamu,O,1386114774203736065,2
lambat,O,1386114774203736065,3
bgt,O,1386114774203736065,4
sih,O,1386114774203736065,5
sekarang,O,1386114774203736065,6
��,O,1386114774203736065,7
masa,O,1386114774203736065,8
jogja,B-LOC,1386114774203736065,9
-,O,1386114774203736065,10
magelang,B-LOC,1386114774203736065,11
udah,O,1386114774203736065,12
2,O,1386114774203736065,13
hari,O,1386114774203736065,14
ngga,O,1386114774203736065,15
jalan,O,1386114774203736065,16
jalan,O,1386114774203736065,17
RT,O,1382201168995045377,0
@IndonesiaRahayu,O,1382201168995045377,1
:,O,1382201168995045377,2
Tak,O,1382201168995045377,3
henti,O,1382201168995045377,4
membuat,O,1382201168995045377,5
orang,O,1382201168995045377,6
menepuk,O,1382201168995045377,7
jidat,O,1382201168995045377,8
",",O,1382201168995045377,9
Gubernur,O,1382201168995045377,10
Anies,B-PER,1382201168995045377,11
yang,O,1382201168995045377,12
dulu,O,1382201168995045377,13
pernah,O,1382201168995045377,14
menyindir,O,1382201168995045377,15
Ahok,B-PER,1382201168995045377,16
dengan,O,1382201168995045377,17
berjanji,O,1382201168995045377,18
tidak,O,1382201168995045377,19
akan,O,1382201168995045377,20
membangun,O,1382201168995045377,21
benda,O,1382201168995045377,22
mati,O,1382201168995045377,23
tetapi,O,1382201168995045377,24
manusianya,O,1382201168995045377,25
",",O,1382201168995045377,26
kembali,O,1382201168995045377,27
ingkar,O,1382201168995045377,28
janji,O,1382201168995045377,29
dan,O,1382201168995045377,30
membangun,O,1382201168995045377,31
