,sentence_id,words,labels
0,1380681275594305537,@ridwankamil,O
1,1380681275594305537,@KickAndyShow,O
2,1380681275594305537,@Metro_TV,O
3,1380681275594305537,Upaya,O
4,1380681275594305537,untuk,O
5,1380681275594305537,mnaikan,O
6,1380681275594305537,nilai,O
7,1380681275594305537,jual,O
8,1380681275594305537,yg,O
9,1380681275594305537,"bgus,dngn",O
10,1380681275594305537,cara,O
11,1380681275594305537,d,O
12,1380681275594305537,desain,O
13,1380681275594305537,pak,O
14,1380681275594305537,gubernur,B-PER
15,1380681275594305537,akan,O
16,1380681275594305537,menjadikn,O
17,1380681275594305537,produk,O
18,1380681275594305537,umkm,O
19,1380681275594305537,d,O
20,1380681275594305537,mintai,O
21,1380681275594305537,krena,O
22,1380681275594305537,yg,O
23,1380681275594305537,desain,O
24,1380681275594305537,org,O
25,1380681275594305537,nomer,O
26,1380681275594305537,satu,O
27,1380681275594305537,di,O
28,1380681275594305537,jabar,B-LOC
29,1380685209075544064,@GyuuPotter,O
30,1380685209075544064,iyhh,O
31,1380685209075544064,",",O
32,1380685209075544064,soalnya,O
33,1380685209075544064,mwu,O
34,1380685209075544064,kerjain,O
35,1380685209075544064,tugas,O
36,1380685209075544064,jg��,O
37,1380685355897085952,@ShopeeID,O
38,1380685355897085952,Bismillah,O
39,1380685355897085952,yok,O
40,1380685355897085952,menang,O
41,1380685355897085952,����,O
42,1380685355897085952,SHOPEE,B-PROD
43,1380685355897085952,@ShopeeID,O
44,1380685355897085952,#44ShopeeMamamoo,O
45,1380685355897085952,#ShopeexMAMAMOO,O
46,1380685355897085952,#AdaMamamoodiShopee,O
47,1380686115007393792,udah,O
48,1380686115007393792,2,O
49,1380686115007393792,mingguan,O
50,1380686115007393792,tinggal,O
51,1380686115007393792,bareng,O
52,1380686115007393792,teteh,O
53,1380686115007393792,",",O
54,1380686115007393792,skrg,O
55,1380686115007393792,tetehku,O
56,1380686115007393792,dah,O
57,1380686115007393792,pulang,O
58,1380686115007393792,lagi,O
59,1380686115007393792,ke,O
60,1380686115007393792,jogja,B-LOC
61,1380686115007393792,rasanya,O
62,1380686115007393792,sepiiiii,O
63,1380686115007393792,bgt,O
64,1380686115007393792,jadi,O
65,1380686115007393792,ga,O
66,1380686115007393792,mood,O
67,1380686115007393792,ngapa2in,O
68,1380688640611786754,@ShopeeID,O
69,1380688640611786754,Potong,O
