tweet_id,token,ner,token_idx,ner_idx,entities,count_entities,onehot_entities
1380681275594305537,"['@ridwankamil', '@KickAndyShow', '@Metro_TV', 'Upaya', 'untuk', 'mnaikan', 'nilai', 'jual', 'yg', 'bgus,dngn', 'cara', 'd', 'desain', 'pak', 'gubernur', 'akan', 'menjadikn', 'produk', 'umkm', 'd', 'mintai', 'krena', 'yg', 'desain', 'org', 'nomer', 'satu', 'di', 'jabar']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC']","[2206, 491, 26569, 22352, 7991, 4864, 16900, 29293, 9075, 5575, 34571, 4761, 17342, 30633, 14355, 7778, 20408, 22485, 5176, 4761, 26792, 631, 9075, 17342, 687, 13759, 22934, 22808, 4805]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 5, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]","[['gubernur', 'PER'], ['jabar', 'LOC']]","[Counter({'PER': 1, 'LOC': 1})]",110000
1380685209075544064,"['@GyuuPotter', 'iyhh', ',', 'soalnya', 'mwu', 'kerjain', 'tugas', 'jg��']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[15762, 30259, 16003, 5383, 35381, 12460, 20254, 7792]","[11, 11, 11, 11, 11, 11, 11, 11]",[],[Counter()],000000
1380686115007393792,"['udah', '2', 'mingguan', 'tinggal', 'bareng', 'teteh', ',', 'skrg', 'tetehku', 'dah', 'pulang', 'lagi', 'ke', 'jogja', 'rasanya', 'sepiiiii', 'bgt', 'jadi', 'ga', 'mood', 'ngapa2in']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[29982, 24393, 22765, 16888, 22811, 24425, 16003, 31335, 27709, 463, 27862, 4607, 26942, 24764, 13219, 34416, 18100, 5265, 22075, 31656, 4485]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2, 11, 11, 11, 11, 11, 11, 11]","[['jogja', 'LOC']]",[Counter({'LOC': 1})],010000
1380688640611786754,"['@ShopeeID', 'Potong', 'buah', 'semangka', 'pakai', 'alas', '.', 'Potongnya', 'diatas', 'bak', '.', 'Nonton', 'ulang', 'MAMAMOO', 'di', 'SHOPEE', 'dapat', 'iPhone', '12.', 'SHOPEE', 'memeng', 'DAEBAK', '.', '��', 'SHOPEE', '#TontonUlangMamamoo', '#TontonUlangShopee44', 'Sukses', 'selalu', 'buat', 'Shopee', 'dan', 'sehat', 'selalu', 'buat', 'mimin', 'Shopee.��', 'DOA', 'dan', 'Semangat', '��']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-PROD', 'O', 'B-PROD', 'I-PROD', 'B-PROD', 'O', 'O', 'O', 'O', 'B-PROD', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O']","[9034, 29343, 32709, 31377, 5562, 7762, 2690, 1540, 21457, 3943, 2690, 21382, 25329, 10639, 22808, 5803, 7244, 6040, 26415, 5803, 17246, 29847, 2690, 14700, 5803, 20378, 8012, 29926, 17809, 31938, 13459, 15481, 11904, 17809, 31938, 10066, 29987, 34836, 15481, 25405, 14700]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 1, 11, 3, 11, 3, 9, 3, 11, 11, 11, 11, 3, 11, 11, 11, 11, 11, 1, 11, 11, 11, 11, 11, 1, 11, 11, 11, 11]","[['MAMAMOO', 'ORG'], ['SHOPEE', 'PROD'], ['iPhone 12.', 'PROD'], ['SHOPEE', 'PROD'], ['SHOPEE', 'PROD'], ['Shopee', 'ORG'], ['Shopee.��', 'ORG']]","[Counter({'PROD': 4, 'ORG': 3})]",001100
1380688670282289153,"['RT', '@kukluxcats', ':', 'Selevel', 'gubernur', 'Jatim', 'aja', 'udah', 'maen', 'BuzzeRp', ',', 'emang', 'udah', 'parah', 'kayanya', 'kompetensi', 'pejabat', 'kita', 'sampe', 'sampe', 'apa', 'apa', 'musti', 'dipromote', 'BuzzeRp', 'https://t.co/kfpglITYzw']","['O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[16167, 28530, 31737, 34556, 14355, 22687, 19809, 29982, 3323, 6898, 16003, 16990, 29982, 10051, 5530, 31724, 26411, 24943, 25614, 25614, 33448, 33448, 13770, 34189, 6898, 16431]","[11, 11, 11, 11, 5, 8, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]","[['gubernur Jatim', 'PER']]",[Counter({'PER': 1})],100000
1380691957861732359,"['@ShopeeID', 'Semoga', 'wangi', '��', 'SHOPEE', '#44ShopeeMamamoo', '#ShopeexMamamoo', '#AdaMamamoodiShopee']","['O', 'O', 'O', 'O', 'B-PROD', 'O', 'O', 'O']","[9034, 6346, 22955, 14700, 5803, 14204, 2601, 9993]","[11, 11, 11, 11, 3, 11, 11, 11]","[['SHOPEE', 'PROD']]",[Counter({'PROD': 1})],000100
1380692463669547008,"['@andre_rosiade', 'Kerja', 'nyata', 'kalian', 'ya', 'itu', 'dgn', 'bergabungnya', 'prabowo', 'sandi', 'menjadi', 'menteri', 'dan', 'apa', 'klian', 'yakin', 'bhw', 'kalaian', 'akan', 'menang', '?', 'No', 'no', 'no', '....']","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[12722, 31269, 14887, 14160, 17981, 16718, 8131, 520, 22365, 22918, 21937, 582, 15481, 33448, 7408, 10086, 17753, 12728, 7778, 3934, 29995, 15629, 31092, 31092, 16030]","[5, 11, 11, 11, 11, 11, 11, 11, 5, 5, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]","[['@andre_rosiade', 'PER'], ['prabowo', 'PER'], ['sandi', 'PER']]",[Counter({'PER': 3})],100000
1380694749603053572,"['Avail', 'Jogja', 'COD', '/', 'Cash', 'in', 'room', 'Open', 'Bebas', 'Crot', 'RR', '???', '⬇️⬇️⬇️', 'DM', '#bojogja', '#AvailJogja', '#JogjaBO', '#ExpoJOGJA', '#openBOjogja', '#AngelJogja', '#jogjaincluderoom', 'https://t.co/uCetrgpwYb']","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[9265, 28368, 21051, 13801, 15684, 10340, 26272, 27192, 14085, 15010, 33600, 6005, 5158, 25754, 32984, 25830, 17818, 1581, 31643, 3629, 6572, 26149]","[11, 2, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]","[['Jogja', 'LOC']]",[Counter({'LOC': 1})],010000
1380695479676100608,"['Cuma', 'Pak', 'Prabowo', 'yang', 'sudah', 'pasti', 'capres', 'lagi', 'sisa', 'nya', 'cawapres', 'potensial', 'bahkan', 'menteri', 'lagi']","['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[29385, 13682, 18934, 20943, 34629, 35239, 28403, 4607, 26361, 25963, 32949, 30893, 20443, 582, 4607]","[11, 11, 5, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]","[['Prabowo', 'PER']]",[Counter({'PER': 1})],100000
1380695624258002949,"['chairman', 'ke', 'laut', ',', 'Secretary', '3', 'hari', 'on', 'leave', '.', 'Harini', 'event', 'ttbe', 'aku', 'jdi', 'main', 'person', '.', 'tagune', '~', 'Bak', 'sini', 'gaji', 'masing2', '.', 'BAK', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[8033, 26942, 9572, 16003, 24429, 35221, 26707, 26387, 6248, 2690, 7226, 20437, 19694, 6065, 31671, 24206, 8751, 2690, 18337, 31334, 2781, 25635, 5389, 31753, 2690, 9062, 12617]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",[],[Counter()],000000
